Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
2019-20,NBA,Atlanta Hawks,20,47,.299,5th of 5,-7.57,,103.0,2.8,107.2,-3.2,114.8,4.4,,,L. Pierce (20-47),T. Young (5.9)
2018-19,NBA,Atlanta Hawks,29,53,.354,5th of 5,-6.06,,103.9,3.9,108.1,-2.3,113.9,3.5,,,L. Pierce (29-53),J. Collins (6.0)
2017-18,NBA,Atlanta Hawks,24,58,.293,5th of 5,-5.30,,98.3,1.0,105.0,-3.6,110.6,2.0,,,M. Budenholzer (24-58),J. Collins (5.4)
2016-17,NBA,Atlanta Hawks*,43,39,.524,2nd of 5,-1.23,,97.4,1.0,104.9,-3.9,105.7,-3.1,,Lost E. Conf. 1st Rnd.,M. Budenholzer (43-39),D. Howard (8.3)
2015-16,NBA,Atlanta Hawks*,48,34,.585,2nd of 5,3.49,,97.1,1.3,105.1,-1.3,101.4,-5.0,,Lost E. Conf. Semis,M. Budenholzer (48-34),P. Millsap (10.1)
2014-15,NBA,Atlanta Hawks*,60,22,.732,1st of 5,4.75,,93.9,0.0,108.9,3.3,103.1,-2.5,,Lost E. Conf. Finals,M. Budenholzer (60-22),A. Horford (8.7)
2013-14,NBA,Atlanta Hawks*,38,44,.463,4th of 5,-0.88,,94.6,0.7,105.9,-0.8,106.4,-0.3,,Lost E. Conf. 1st Rnd.,M. Budenholzer (38-44),P. Millsap (6.7)
2012-13,NBA,Atlanta Hawks*,44,38,.537,2nd of 5,-0.08,,92.6,0.6,104.8,-1.1,104.4,-1.5,,Lost E. Conf. 1st Rnd.,L. Drew (44-38),A. Horford (8.8)
2011-12,NBA,Atlanta Hawks*,40,26,.606,2nd of 5,2.67,,90.2,-1.1,104.9,0.3,101.2,-3.4,,Lost E. Conf. 1st Rnd.,L. Drew (40-26),J. Smith (6.8)
2010-11,NBA,Atlanta Hawks*,44,38,.537,3rd of 5,-1.10,,89.3,-2.8,106.1,-1.2,107.0,-0.3,,Lost E. Conf. Semis,L. Drew (44-38),A. Horford (10.1)
2009-10,NBA,Atlanta Hawks*,53,29,.646,2nd of 5,4.44,,90.1,-2.6,111.9,4.3,106.7,-0.9,,Lost E. Conf. Semis,M. Woodson (53-29),A. Horford (10.9)
2008-09,NBA,Atlanta Hawks*,47,35,.573,2nd of 5,1.70,,89.6,-2.1,109.3,1.0,107.6,-0.7,,Lost E. Conf. Semis,M. Woodson (47-35),J. Johnson (7.6)
2007-08,NBA,Atlanta Hawks*,37,45,.451,3rd of 5,-2.23,,91.1,-1.3,106.9,-0.6,108.9,1.4,,Lost E. Conf. 1st Rnd.,M. Woodson (37-45),J. Childress (7.6)
2006-07,NBA,Atlanta Hawks,30,52,.366,5th of 5,-4.86,,90.0,-1.9,103.0,-3.5,108.3,1.8,,,M. Woodson (30-52),J. Childress (5.5)
2005-06,NBA,Atlanta Hawks,26,56,.317,5th of 5,-4.69,,90.4,-0.1,106.4,0.2,111.6,5.4,,,M. Woodson (26-56),J. Johnson (6.0)
2004-05,NBA,Atlanta Hawks,13,69,.159,5th of 5,-9.62,,91.4,0.5,100.6,-5.5,111.1,5.0,,,M. Woodson (13-69),J. Childress (4.6)
2003-04,NBA,Atlanta Hawks,28,54,.341,7th of 8,-5.00,,90.8,0.7,101.0,-1.9,106.1,3.2,,,T. Stotts (28-54),S. Abdur-Rahim (6.6)
2002-03,NBA,Atlanta Hawks,35,47,.427,5th of 8,-3.87,,91.0,0.0,102.3,-1.3,106.1,2.5,,,L. Kruger (11-16) T. Stotts (24-31),S. Abdur-Rahim (9.7)
2001-02,NBA,Atlanta Hawks,33,49,.402,6th of 8,-4.41,,91.9,1.2,101.8,-2.7,106.4,1.9,,,L. Kruger (33-49),J. Terry (8.6)
2000-01,NBA,Atlanta Hawks,25,57,.305,7th of 8,-5.55,,91.9,0.6,98.7,-4.3,104.3,1.3,,,L. Kruger (25-57),J. Terry (6.5)
1999-00,NBA,Atlanta Hawks,28,54,.341,7th of 8,-5.41,,91.7,-1.4,102.0,-2.1,107.9,3.8,,,L. Wilkens (28-54),D. Mutombo (9.9)
1998-99,NBA,Atlanta Hawks*,31,19,.620,2nd of 8,2.82,,85.3,-3.6,100.5,-1.7,97.1,-5.1,,Lost E. Conf. Semis,L. Wilkens (31-19),D. Mutombo (7.9)
1997-98,NBA,Atlanta Hawks*,50,32,.610,4th of 8,3.85,,87.7,-2.6,108.2,3.2,104.3,-0.7,,Lost E. Conf. 1st Rnd.,L. Wilkens (50-32),D. Mutombo (10.8)
1996-97,NBA,Atlanta Hawks*,56,26,.683,2nd of 8,5.52,,86.8,-3.3,108.5,1.8,102.3,-4.4,,Lost E. Conf. Semis,L. Wilkens (56-26),M. Blaylock (12.5)
1995-96,NBA,Atlanta Hawks*,46,36,.561,4th of 8,1.29,,89.6,-2.2,109.4,1.8,108.0,0.4,,Lost E. Conf. Semis,L. Wilkens (46-36),M. Blaylock (9.0)
1994-95,NBA,Atlanta Hawks*,42,40,.512,5th of 7,1.06,,89.8,-3.1,106.6,-1.7,105.2,-3.1,,Lost E. Conf. 1st Rnd.,L. Wilkens (42-40),M. Blaylock (9.4)
1993-94,NBA,Atlanta Hawks*,57,25,.695,1st of 7,4.94,,94.2,-0.9,107.2,0.9,101.7,-4.6,,Lost E. Conf. Semis,L. Wilkens (57-25),M. Blaylock (10.2)
1992-93,NBA,Atlanta Hawks*,43,39,.524,4th of 7,-0.67,,97.6,0.8,109.3,1.3,110.2,2.2,,Lost E. Conf. 1st Rnd.,B. Weiss (43-39),D. Wilkins (10.5)
1991-92,NBA,Atlanta Hawks,38,44,.463,5th of 7,-1.15,,97.8,1.2,107.3,-0.9,108.9,0.7,,,B. Weiss (38-44),K. Willis (8.8)
1990-91,NBA,Atlanta Hawks*,43,39,.524,4th of 7,0.72,,98.6,0.8,110.9,3.0,110.1,2.2,,Lost E. Conf. 1st Rnd.,B. Weiss (43-39),D. Wilkins (11.4)
1989-90,NBA,Atlanta Hawks,41,41,.500,6th of 7,0.64,,95.8,-2.5,113.0,4.9,111.9,3.8,,,M. Fratello (41-41),D. Wilkins (11.1)
1988-89,NBA,Atlanta Hawks*,52,30,.634,3rd of 6,5.26,,98.3,-2.3,112.2,4.4,107.2,-0.6,,Lost E. Conf. 1st Rnd.,M. Fratello (52-30),M. Malone (10.7)
1987-88,NBA,Atlanta Hawks*,50,32,.610,3rd of 6,4.02,,96.4,-3.2,111.3,3.3,107.6,-0.4,,Lost E. Conf. Semis,M. Fratello (50-32),D. Wilkins (9.8)
1986-87,NBA,Atlanta Hawks*,57,25,.695,1st of 6,7.18,,97.4,-3.4,112.6,4.3,105.2,-3.1,,Lost E. Conf. Semis,M. Fratello (57-25),D. Wilkins (12.2)
1985-86,NBA,Atlanta Hawks*,50,32,.610,2nd of 6,2.59,,100.0,-2.1,107.9,0.7,105.6,-1.6,,Lost E. Conf. Semis,M. Fratello (50-32),D. Wilkins (10.8)
1984-85,NBA,Atlanta Hawks,34,48,.415,5th of 6,-1.14,,99.8,-2.3,105.9,-2.0,107.3,-0.6,,,M. Fratello (34-48),D. Wilkins (7.6)
1983-84,NBA,Atlanta Hawks*,40,42,.488,3rd of 6,-1.08,,95.3,-6.1,105.5,-2.1,106.9,-0.7,,Lost E. Conf. 1st Rnd.,M. Fratello (40-42),D. Roundfield (7.1)
1982-83,NBA,Atlanta Hawks*,43,39,.524,2nd of 6,-0.72,,98.9,-4.2,102.2,-2.5,103.2,-1.5,,Lost E. Conf. 1st Rnd.,K. Loughery (43-39),D. Roundfield (7.4)
1981-82,NBA,Atlanta Hawks*,42,40,.512,2nd of 6,0.81,,95.1,-5.8,105.1,-1.8,104.6,-2.3,,Lost E. Conf. 1st Rnd.,K. Loughery (42-40),D. Roundfield (6.5)
1980-81,NBA,Atlanta Hawks,31,51,.378,4th of 6,-2.37,,99.4,-2.4,104.3,-1.2,107.3,1.8,,,H. Brown (31-48) M. Fratello (0-3),D. Roundfield (7.0)
1979-80,NBA,Atlanta Hawks*,50,32,.610,1st of 6,2.83,,98.9,-4.2,105.2,-0.1,102.3,-3.0,,Lost E. Conf. Semis,H. Brown (50-32),T. Rollins (9.2)
1978-79,NBA,Atlanta Hawks*,46,36,.561,3rd of 6,1.92,,102.5,-3.3,105.6,1.8,103.6,-0.2,,Lost E. Conf. Semis,H. Brown (46-36),J. Drew (8.9)
1977-78,NBA,Atlanta Hawks*,41,41,.500,4th of 6,-0.13,,103.3,-3.4,99.7,-1.2,99.8,-1.1,,Lost E. Conf. 1st Rnd.,H. Brown (41-41),J. Drew (8.9)
1976-77,NBA,Atlanta Hawks,31,51,.378,6th of 6,-3.87,,104.6,-1.9,97.8,-1.7,101.6,2.1,,,H. Brown (31-51),J. Drew (7.9)
1975-76,NBA,Atlanta Hawks,29,53,.354,5th of 5,-2.66,,103.6,-1.9,98.4,0.1,101.2,2.9,,,C. Fitzsimmons (28-46) G. Tormohlen (1-7),J. Drew (10.6)
1974-75,NBA,Atlanta Hawks,31,51,.378,4th of 5,-1.32,,106.3,1.8,98.3,0.6,99.5,1.8,,,C. Fitzsimmons (31-51),J. Drew (7.1)
1973-74,NBA,Atlanta Hawks,35,47,.427,2nd of 4,-1.47,,110.8,3.0,97.7,0.0,99.0,1.3,,,C. Fitzsimmons (35-47),L. Hudson (8.8)
