Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,Sacramento Kings,28,36,0.438,3rd of 5,-1.44,98.4,-1.8,109.7,-0.7,111.6,1.2,,L. Walton (28-36),N. Bjelica (4.7),30
2018-19,NBA,Sacramento Kings,39,43,0.476,3rd of 5,-0.81,103.1,3.1,110.4,0,111.5,1.1,,D. Joerger (39-43),W. Cauley-Stein (6.7),30
2017-18,NBA,Sacramento Kings,27,55,0.329,4th of 5,-6.6,94.9,-2.4,103.7,-4.9,111.1,2.5,,D. Joerger (27-55),W. Cauley-Stein (3.9),30
2016-17,NBA,Sacramento Kings,32,50,0.39,3rd of 5,-3.29,94.9,-1.5,107.3,-1.5,111.3,2.5,,D. Joerger (32-50),D. Cousins (6.0),30
2015-16,NBA,Sacramento Kings,33,49,0.402,3rd of 5,-2.32,100,4.2,106,-0.4,108.4,2,,G. Karl (33-49),D. Cousins (5.7),30
2014-15,NBA,Sacramento Kings,29,53,0.354,4th of 5,-3.07,95.4,1.5,105.3,-0.3,109.2,3.6,,M. Malone (11-13) T. Corbin (7-21) G. Karl (11-19),R. Gay (6.1),30
2013-14,NBA,Sacramento Kings,28,54,0.341,4th of 5,-2.08,94.4,0.5,105.7,-1,108.8,2.1,,M. Malone (28-54),D. Cousins (7.9),30
2012-13,NBA,Sacramento Kings,28,54,0.341,4th of 5,-4.26,93.6,1.6,106.2,0.3,111.4,5.5,,K. Smart (28-54),I. Thomas (5.0),30
2011-12,NBA,Sacramento Kings,22,44,0.333,5th of 5,-4.95,94.7,3.4,103.8,-0.8,109.8,5.2,,P. Westphal (2-5) K. Smart (20-39),I. Thomas (4.3),30
2010-11,NBA,Sacramento Kings,24,58,0.293,5th of 5,-4.8,95.2,3.1,103.5,-3.8,109,1.7,,P. Westphal (24-58),B. Udrih (7.2),30
2009-10,NBA,Sacramento Kings,25,57,0.305,5th of 5,-4.06,94,1.3,105.3,-2.3,109.9,2.3,,P. Westphal (25-57),B. Udrih (5.5),30
2008-09,NBA,Sacramento Kings,17,65,0.207,5th of 5,-8.6,94.2,2.5,105.5,-2.8,114.7,6.4,,R. Theus (6-18) K. Natt (11-47),K. Martin (4.7),30
2007-08,NBA,Sacramento Kings,38,44,0.463,4th of 5,-1.86,94.7,2.3,107.5,0,109.9,2.4,,R. Theus (38-44),K. Martin (8.4),30
2006-07,NBA,Sacramento Kings,33,49,0.402,5th of 5,-1.35,94.8,2.9,106.2,-0.3,108,1.5,,E. Musselman (33-49),K. Martin (10.2),30
2005-06,NBA,Sacramento Kings*,44,38,0.537,4th of 5,1.61,91.9,1.4,106.7,0.5,105,-1.2,Lost W. Conf. 1st Rnd.,R. Adelman (44-38),B. Miller (9.1),30
2004-05,NBA,Sacramento Kings*,50,32,0.61,2nd of 5,2.56,93,2.1,110.5,4.4,108.2,2.1,Lost W. Conf. 1st Rnd.,R. Adelman (50-32),B. Miller (8.6),30
2003-04,NBA,Sacramento Kings*,55,27,0.671,2nd of 7,5.41,92.8,2.7,110.3,7.4,104.9,2,Lost W. Conf. Semis,R. Adelman (55-27),P. Stojaković (13.5),30
2002-03,NBA,Sacramento Kings*,59,23,0.72,1st of 7,6.68,95.4,4.4,105.9,2.3,99.1,-4.5,Lost W. Conf. Semis,R. Adelman (59-23),P. Stojaković (10.1),30
2001-02,NBA,Sacramento Kings*,61,21,0.744,1st of 7,7.61,95.6,4.9,109,4.5,101.1,-3.4,Lost W. Conf. Finals,R. Adelman (61-21),P. Stojaković (9.9),30
2000-01,NBA,Sacramento Kings*,55,27,0.671,2nd of 7,6.07,94.4,3.1,105.6,2.6,99.6,-3.4,Lost W. Conf. Semis,R. Adelman (55-27),C. Webber (11.0),30
1999-00,NBA,Sacramento Kings*,44,38,0.537,5th of 7,3.04,99.3,6.2,105,0.9,102.1,-2,Lost W. Conf. 1st Rnd.,R. Adelman (44-38),C. Webber (10.7),30
1998-99,NBA,Sacramento Kings*,27,23,0.54,4th of 7,-0.89,96,7.1,102.7,0.5,103.1,0.9,Lost W. Conf. 1st Rnd.,R. Adelman (27-23),V. Divac (5.2),30
1997-98,NBA,Sacramento Kings,27,55,0.329,5th of 7,-5.83,92.1,1.8,100.8,-4.2,106.9,1.9,,E. Jordan (27-55),M. Richmond (7.9),30
1996-97,NBA,Sacramento Kings,34,48,0.415,6th of 7,-3.64,91,0.9,105,-1.7,108.7,2,,G. St. Jean (28-39) E. Jordan (6-9),M. Richmond (10.8),30
1995-96,NBA,Sacramento Kings*,39,43,0.476,5th of 7,-2.62,93.4,1.6,106.2,-1.4,109.1,1.5,Lost W. Conf. 1st Rnd.,G. St. Jean (39-43),M. Richmond (9.3),30
1994-95,NBA,Sacramento Kings,39,43,0.476,5th of 7,-0.74,92.3,-0.6,105.5,-2.8,106.5,-1.8,,G. St. Jean (39-43),M. Richmond (8.0),30
1993-94,NBA,Sacramento Kings,28,54,0.341,6th of 7,-5.32,97.5,2.4,103.3,-3,109.2,2.9,,G. St. Jean (28-54),M. Richmond (6.4),30
1992-93,NBA,Sacramento Kings,25,57,0.305,7th of 7,-3,100.8,4,106.5,-1.5,109.6,1.6,,G. St. Jean (25-57),W. Tisdale (4.5),30
1991-92,NBA,Sacramento Kings,29,53,0.354,7th of 7,-5.63,99.6,3,103.9,-4.3,109.9,1.7,,D. Motta (7-18) R. Hughes (22-35),M. Richmond (4.9),30
1990-91,NBA,Sacramento Kings,25,57,0.305,7th of 7,-6.27,94.7,-3.1,102,-5.9,109.1,1.2,,D. Motta (25-57),A. Carr (5.4),30
1989-90,NBA,Sacramento Kings,23,59,0.28,7th of 7,-4.41,96.7,-1.6,104.8,-3.3,110,1.9,,J. Reynolds (7-21) D. Motta (16-38),R. McCray (7.9),30
1988-89,NBA,Sacramento Kings,27,55,0.329,6th of 7,-5.35,100.5,-0.1,104.5,-3.3,110,2.2,,J. Reynolds (27-55),H. Pressley (4.8),30
1987-88,NBA,Sacramento Kings,24,58,0.293,6th of 6,-5.84,100.9,1.3,106.5,-1.5,112.1,4.1,,B. Russell (17-41) J. Reynolds (7-17),O. Thorpe (8.1),30
1986-87,NBA,Sacramento Kings,29,53,0.354,5th of 6,-3.34,101.3,0.5,108.9,0.6,112.1,3.8,,P. Johnson (14-32) J. Reynolds (15-21),O. Thorpe (9.0),30
1985-86,NBA,Sacramento Kings*,37,45,0.451,5th of 6,-3.19,102,-0.1,106.2,-1,109.2,2,Lost W. Conf. 1st Rnd.,P. Johnson (37-45),R. Theus (6.4),30
1984-85,NBA,Kansas City Kings,31,51,0.378,6th of 6,-2.71,104.4,2.3,109.5,1.6,112.1,4.2,,J. McKinney (1-8) P. Johnson (30-43),L. Thompson (5.3),30
1983-84,NBA,Kansas City Kings*,38,44,0.463,4th of 6,-1.62,102.9,1.5,106.5,-1.1,108,0.4,Lost W. Conf. 1st Rnd.,C. Fitzsimmons (38-44),E. Johnson (5.6),30
1982-83,NBA,Kansas City Kings,45,37,0.549,3rd of 6,1.04,106.6,3.5,106.2,1.5,104.9,0.2,,C. Fitzsimmons (45-37),M. Woodson (7.8),30
1981-82,NBA,Kansas City Kings,30,52,0.366,4th of 6,-3.25,101.8,0.9,104.2,-2.7,107.2,0.3,,C. Fitzsimmons (30-52),M. Woodson (5.3),30
1980-81,NBA,Kansas City Kings*,40,42,0.488,2nd of 6,-0.49,101.3,-0.5,104.7,-0.8,104.7,-0.8,Lost W. Conf. Finals,C. Fitzsimmons (40-42),R. King (8.3),30
1979-80,NBA,Kansas City Kings*,47,35,0.573,2nd of 5,2.82,103.2,0.1,104,-1.3,101,-4.3,Lost W. Conf. 1st Rnd.,C. Fitzsimmons (47-35),O. Birdsong (8.6),30
1978-79,NBA,Kansas City Kings*,48,34,0.585,1st of 5,2.73,107.3,1.5,104.5,0.7,101.9,-1.9,Lost W. Conf. Semis,C. Fitzsimmons (48-34),O. Birdsong (8.8),30
1977-78,NBA,Kansas City Kings,31,51,0.378,5th of 6,-1.76,108.2,1.5,100.5,-0.4,102.2,1.3,,P. Johnson (13-24) L. Staverman (18-27),S. Wedman (7.8),30
1976-77,NBA,Kansas City Kings,40,42,0.488,4th of 6,0.93,106.4,-0.1,100.5,1,99.6,0.1,,P. Johnson (40-42),R. Boone (8.1),30
1975-76,NBA,Kansas City Kings,31,51,0.378,3rd of 4,-2.83,105.7,0.2,97.4,-0.9,100.1,1.8,,P. Johnson (31-51),T. Archibald (8.0),30
1974-75,NBA,Kansas City-Omaha Kings*,44,38,0.537,2nd of 4,-0.16,104.4,-0.1,96.8,-0.9,97.1,-0.6,Lost W. Conf. Semis,P. Johnson (44-38),T. Archibald (11.2),30
1973-74,NBA,Kansas City-Omaha Kings,33,49,0.402,4th of 4,-3.24,106.1,-1.7,96,-1.7,99.5,1.8,,B. Cousy (6-14) D. Young (0-4) P. Johnson (27-31),S. Lacey (7.7),30
1972-73,NBA,Kansas City-Omaha Kings,36,46,0.439,4th of 4,-2.36,107.3,-3.4,99.7,2.9,102.4,5.6,,B. Cousy (36-46),T. Archibald (14.2),30
1971-72,NBA,Cincinnati Royals,30,52,0.366,3rd of 4,-4.13,109.5,-2.5,98,0.1,101.6,3.7,,B. Cousy (30-52),T. Archibald (12.9),30
1970-71,NBA,Cincinnati Royals,33,49,0.402,3rd of 4,-2.96,118.5,3.4,97.1,-0.1,99.8,2.6,,B. Cousy (33-49),J. Green (9.5),30
1969-70,NBA,Cincinnati Royals,36,46,0.439,5th of 7,-2.55,118.5,1.4,98,-1,100.4,1.4,,B. Cousy (36-46),O. Robertson (11.4),30
1968-69,NBA,Cincinnati Royals,41,41,0.5,5th of 7,-0.83,113.6,-3.3,100.2,4.7,101.1,5.6,,E. Jucker (41-41),O. Robertson (12.9),30
1967-68,NBA,Cincinnati Royals,39,43,0.476,5th of 6,-0.64,114.6,-5.2,101.1,4.3,101.8,5,,E. Jucker (39-43),O. Robertson (12.3),30
1966-67,NBA,Cincinnati Royals*,39,42,0.481,3rd of 5,-0.23,118.6,-3,98.4,2.3,98.6,2.5,Lost E. Div. Semis,J. McMahon (39-42),O. Robertson (17.4),30
1965-66,NBA,Cincinnati Royals*,45,35,0.563,3rd of 4,1.03,120.4,-1,97.5,2.6,96.5,1.6,Lost E. Div. Semis,J. McMahon (45-35),O. Robertson (16.9),30
1964-65,NBA,Cincinnati Royals*,48,32,0.6,2nd of 4,2.04,115.8,-1.5,98,4.4,96,2.4,Lost E. Div. Semis,J. McMahon (48-32),O. Robertson (17.0),30
1963-64,NBA,Cincinnati Royals*,55,25,0.688,2nd of 4,4.43,115.9,2.7,98.9,4.3,94.5,-0.1,Lost E. Div. Finals,J. McMahon (55-25),O. Robertson (20.6),30
1962-63,NBA,Cincinnati Royals*,42,38,0.525,3rd of 4,1.24,119,4,99.4,3.5,98.3,2.4,Lost E. Div. Finals,C. Wolf (42-38),O. Robertson (16.8),30
1961-62,NBA,Cincinnati Royals*,43,37,0.538,2nd of 5,1.28,124.9,3.6,98.3,4.7,96.9,3.3,Lost W. Div. Semis,C. Wolf (43-37),O. Robertson (15.6),30
1960-61,NBA,Cincinnati Royals,33,46,0.418,4th of 4,-3.04,122.8,-0.7,95.6,3.5,98.4,6.3,,C. Wolf (33-46),O. Robertson (13.2),30
1959-60,NBA,Cincinnati Royals,19,56,0.253,4th of 4,-5.92,121.6,-0.7,91.3,0.2,96.5,5.4,,T. Marshall (19-56),J. Twyman (8.3),30
1958-59,NBA,Cincinnati Royals,19,53,0.264,4th of 4,-7.89,116.4,4.4,87.5,-2.7,95,4.8,,B. Wanzer (3-15) T. Marshall (16-38),J. Twyman (7.3),30
1957-58,NBA,Cincinnati Royals*,33,39,0.458,3rd of 4,-1.47,117.3,0.3,86.5,-2.3,87.6,-1.2,Lost W. Div. Semis,B. Wanzer (33-39),C. Lovellette (10.1),30
1956-57,NBA,Rochester Royals,31,41,0.431,4th of 4,-2.08,109.4,4.5,84.9,-4,86.9,-2,,B. Wanzer (31-41),J. Twyman (8.8),30
1955-56,NBA,Rochester Royals,31,41,0.431,4th of 4,-2.61,111.7,8.9,85.3,-5,87.9,-2.4,,B. Wanzer (31-41),M. Stokes (6.0),30
1954-55,NBA,Rochester Royals*,29,43,0.403,3rd of 4,-1.43,99.5,1.4,90.7,0.9,92.3,2.5,Lost W. Div. Semis,L. Harrison (29-43),J. Coleman (6.2),30
1953-54,NBA,Rochester Royals*,44,28,0.611,2nd of 4,2.24,90.9,7.3,86.6,-0.9,84,-3.5,Lost W. Div. Finals,L. Harrison (44-28),B. Wanzer (9.1),30
1952-53,NBA,Rochester Royals*,44,26,0.629,2nd of 5,2.62,94.1,13.6,89.8,1.8,86.9,-0.8,Lost W. Div. Semis,L. Harrison (44-26),B. Wanzer (7.9),30
1951-52,NBA,Rochester Royals*,41,25,0.621,1st of 5,2.92,92.7,6.9,91.6,4.7,88.1,1.2,Lost W. Div. Finals,L. Harrison (41-25),B. Wanzer (11.4),30
1950-51,NBA,Rochester Royals*,41,27,0.603,2nd of 5,2.54,92.3,6.8,89.3,4.2,86.2,1.1,Won Finals,L. Harrison (41-27),A. Risen (9.3),30
1949-50,NBA,Rochester Royals*,51,17,0.75,2nd of 5,7.72,,,,,,,Lost Central Div. Semis,L. Harrison (51-17),B. Wanzer (10.5),30
1948-49,BAA,Rochester Royals*,45,15,0.75,1st of 6,6.12,,,,,,,Lost W. Div. Finals,L. Harrison (45-15),A. Risen (10.6),30
