_id,Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
ObjectId("5e8d4f39a3c4ba8dd2313d63"),2017-18,NBA,Atlanta Hawks,24,58,0.293,5th of 5,-5.3,98.3,1,105,-3.6,110.6,2,,M. Budenholzer (24-58),J. Collins (5.4),1
ObjectId("5e8d4f39a3c4ba8dd2313d64"),2019-20,NBA,Atlanta Hawks,20,47,0.299,5th of 5,-7.57,103,2.8,107.2,-3.2,114.8,4.4,,L. Pierce (20-47),T. Young (5.9),1
ObjectId("5e8d4f39a3c4ba8dd2313d65"),2011-12,NBA,Atlanta Hawks*,40,26,0.606,2nd of 5,2.67,90.2,-1.1,104.9,0.3,101.2,-3.4,Lost E. Conf. 1st Rnd.,L. Drew (40-26),J. Smith (6.8),1
ObjectId("5e8d4f39a3c4ba8dd2313d66"),2010-11,NBA,Atlanta Hawks*,44,38,0.537,3rd of 5,-1.1,89.3,-2.8,106.1,-1.2,107,-0.3,Lost E. Conf. Semis,L. Drew (44-38),A. Horford (10.1),1
ObjectId("5e8d4f39a3c4ba8dd2313d67"),2009-10,NBA,Atlanta Hawks*,53,29,0.646,2nd of 5,4.44,90.1,-2.6,111.9,4.3,106.7,-0.9,Lost E. Conf. Semis,M. Woodson (53-29),A. Horford (10.9),1
ObjectId("5e8d4f39a3c4ba8dd2313d68"),2015-16,NBA,Atlanta Hawks*,48,34,0.585,2nd of 5,3.49,97.1,1.3,105.1,-1.3,101.4,-5,Lost E. Conf. Semis,M. Budenholzer (48-34),P. Millsap (10.1),1
ObjectId("5e8d4f39a3c4ba8dd2313d69"),2016-17,NBA,Atlanta Hawks*,43,39,0.524,2nd of 5,-1.23,97.4,1,104.9,-3.9,105.7,-3.1,Lost E. Conf. 1st Rnd.,M. Budenholzer (43-39),D. Howard (8.3),1
ObjectId("5e8d4f39a3c4ba8dd2313d6a"),2018-19,NBA,Atlanta Hawks,29,53,0.354,5th of 5,-6.06,103.9,3.9,108.1,-2.3,113.9,3.5,,L. Pierce (29-53),J. Collins (6.0),1
ObjectId("5e8d4f39a3c4ba8dd2313d6b"),2013-14,NBA,Atlanta Hawks*,38,44,0.463,4th of 5,-0.88,94.6,0.7,105.9,-0.8,106.4,-0.3,Lost E. Conf. 1st Rnd.,M. Budenholzer (38-44),P. Millsap (6.7),1
ObjectId("5e8d4f39a3c4ba8dd2313d6c"),2014-15,NBA,Atlanta Hawks*,60,22,0.732,1st of 5,4.75,93.9,0,108.9,3.3,103.1,-2.5,Lost E. Conf. Finals,M. Budenholzer (60-22),A. Horford (8.7),1
ObjectId("5e8d4f39a3c4ba8dd2313d6d"),2012-13,NBA,Atlanta Hawks*,44,38,0.537,2nd of 5,-0.08,92.6,0.6,104.8,-1.1,104.4,-1.5,Lost E. Conf. 1st Rnd.,L. Drew (44-38),A. Horford (8.8),1
ObjectId("5e8d4f39a3c4ba8dd2313d6e"),2008-09,NBA,Atlanta Hawks*,47,35,0.573,2nd of 5,1.7,89.6,-2.1,109.3,1,107.6,-0.7,Lost E. Conf. Semis,M. Woodson (47-35),J. Johnson (7.6),1
ObjectId("5e8d4f39a3c4ba8dd2313d6f"),2007-08,NBA,Atlanta Hawks*,37,45,0.451,3rd of 5,-2.23,91.1,-1.3,106.9,-0.6,108.9,1.4,Lost E. Conf. 1st Rnd.,M. Woodson (37-45),J. Childress (7.6),1
ObjectId("5e8d4f39a3c4ba8dd2313d70"),2005-06,NBA,Atlanta Hawks,26,56,0.317,5th of 5,-4.69,90.4,-0.1,106.4,0.2,111.6,5.4,,M. Woodson (26-56),J. Johnson (6.0),1
ObjectId("5e8d4f39a3c4ba8dd2313d71"),2006-07,NBA,Atlanta Hawks,30,52,0.366,5th of 5,-4.86,90,-1.9,103,-3.5,108.3,1.8,,M. Woodson (30-52),J. Childress (5.5),1
ObjectId("5e8d4f39a3c4ba8dd2313d72"),2003-04,NBA,Atlanta Hawks,28,54,0.341,7th of 8,-5,90.8,0.7,101,-1.9,106.1,3.2,,T. Stotts (28-54),S. Abdur-Rahim (6.6),1
ObjectId("5e8d4f39a3c4ba8dd2313d73"),2004-05,NBA,Atlanta Hawks,13,69,0.159,5th of 5,-9.62,91.4,0.5,100.6,-5.5,111.1,5,,M. Woodson (13-69),J. Childress (4.6),1
ObjectId("5e8d4f39a3c4ba8dd2313d74"),2001-02,NBA,Atlanta Hawks,33,49,0.402,6th of 8,-4.41,91.9,1.2,101.8,-2.7,106.4,1.9,,L. Kruger (33-49),J. Terry (8.6),1
ObjectId("5e8d4f39a3c4ba8dd2313d75"),2002-03,NBA,Atlanta Hawks,35,47,0.427,5th of 8,-3.87,91,0,102.3,-1.3,106.1,2.5,,L. Kruger (11-16) T. Stotts (24-31),S. Abdur-Rahim (9.7),1
ObjectId("5e8d4f39a3c4ba8dd2313d76"),1999-00,NBA,Atlanta Hawks,28,54,0.341,7th of 8,-5.41,91.7,-1.4,102,-2.1,107.9,3.8,,L. Wilkens (28-54),D. Mutombo (9.9),1
ObjectId("5e8d4f39a3c4ba8dd2313d77"),2000-01,NBA,Atlanta Hawks,25,57,0.305,7th of 8,-5.55,91.9,0.6,98.7,-4.3,104.3,1.3,,L. Kruger (25-57),J. Terry (6.5),1
ObjectId("5e8d4f39a3c4ba8dd2313d78"),1996-97,NBA,Atlanta Hawks*,56,26,0.683,2nd of 8,5.52,86.8,-3.3,108.5,1.8,102.3,-4.4,Lost E. Conf. Semis,L. Wilkens (56-26),M. Blaylock (12.5),1
ObjectId("5e8d4f39a3c4ba8dd2313d79"),1997-98,NBA,Atlanta Hawks*,50,32,0.61,4th of 8,3.85,87.7,-2.6,108.2,3.2,104.3,-0.7,Lost E. Conf. 1st Rnd.,L. Wilkens (50-32),D. Mutombo (10.8),1
ObjectId("5e8d4f39a3c4ba8dd2313d7a"),1995-96,NBA,Atlanta Hawks*,46,36,0.561,4th of 8,1.29,89.6,-2.2,109.4,1.8,108,0.4,Lost E. Conf. Semis,L. Wilkens (46-36),M. Blaylock (9.0),1
ObjectId("5e8d4f39a3c4ba8dd2313d7b"),1993-94,NBA,Atlanta Hawks*,57,25,0.695,1st of 7,4.94,94.2,-0.9,107.2,0.9,101.7,-4.6,Lost E. Conf. Semis,L. Wilkens (57-25),M. Blaylock (10.2),1
ObjectId("5e8d4f39a3c4ba8dd2313d7c"),1994-95,NBA,Atlanta Hawks*,42,40,0.512,5th of 7,1.06,89.8,-3.1,106.6,-1.7,105.2,-3.1,Lost E. Conf. 1st Rnd.,L. Wilkens (42-40),M. Blaylock (9.4),1
ObjectId("5e8d4f39a3c4ba8dd2313d7d"),1992-93,NBA,Atlanta Hawks*,43,39,0.524,4th of 7,-0.67,97.6,0.8,109.3,1.3,110.2,2.2,Lost E. Conf. 1st Rnd.,B. Weiss (43-39),D. Wilkins (10.5),1
ObjectId("5e8d4f39a3c4ba8dd2313d7e"),1991-92,NBA,Atlanta Hawks,38,44,0.463,5th of 7,-1.15,97.8,1.2,107.3,-0.9,108.9,0.7,,B. Weiss (38-44),K. Willis (8.8),1
