TEAM,WIN,LOSS,PYTHAGOREAN_WINS,PYTHAGOREAN_LOSSES,MARGIN_OF_VICTORY,STRENGTH_OF_SCHEDULE,SIMPLE_RATING_SYSTEM,ORTG,DRTG,NETRTG,PACE,FT_ATTEMPT_RATE,3PT_ATTEMPT_RATE,TRUE_SHOOTING%,EFG%,TOV%,ORB%,FT_PER_FIELDGOALATTEMPT,OPP_EFG%,OPP_TOV%,OPP_DRB%,OPP_FT_PER_FIELDGOALATTEMPT,ARENA,ATTENDANCE,ATTENDANCE_PER_GAME,YEAR,TEAMABRV,TEAMID
League Average,,,33.0,33.0,0.0,0.0,0.0,,,,,0.397,,0.41,0.34,,,0.284,,,,,,110552.0,,1949-50,LG_AVG,0
League Average,,,32.0,32.0,0.0,0.0,0.0,85.1,85.1,,97.4,0.39899999999999997,,0.428,0.35700000000000004,,,0.293,,,,,,197888.0,,1950-51,LG_AVG,0
League Average,,,33.0,33.0,0.0,0.0,-0.01,86.9,86.9,,95.1,0.41100000000000003,,0.43799999999999994,0.36700000000000005,,,0.302,,,,,,160167.0,,1951-52,LG_AVG,0
League Average,,,36.0,34.0,0.29,0.01,0.01,88.0,87.7,,92.4,0.465,,0.445,0.37,,,0.33299999999999996,,,,,,161808.0,,1952-53,LG_AVG,0
League Average,,,36.0,36.0,0.0,0.01,0.01,87.5,87.5,,90.0,0.43799999999999994,,0.442,0.37200000000000005,,,0.311,,,,,,156912.0,,1953-54,LG_AVG,0
League Average,,,36.0,36.0,0.01,0.0,0.0,89.8,89.8,,102.9,0.41600000000000004,,0.455,0.385,,,0.307,,,,,,175675.0,,1954-55,LG_AVG,0
League Average,,,36.0,36.0,0.0,0.0,0.0,90.3,90.3,,108.8,0.41600000000000004,,0.45799999999999996,0.387,,,0.31,,,,,,209645.0,,1955-56,LG_AVG,0
League Average,,,36.0,36.0,0.0,-0.01,-0.01,88.9,88.9,,111.1,0.391,,0.449,0.38,,,0.293,,,,,,262918.0,,1956-57,LG_AVG,0
League Average,,,36.0,36.0,0.0,0.0,0.0,88.8,88.8,,119.7,0.376,,0.449,0.38299999999999995,,,0.281,,,,,,240943.0,,1957-58,LG_AVG,0
League Average,,,36.0,36.0,0.0,0.0,0.0,90.2,90.2,,118.9,0.355,,0.457,0.395,,,0.268,,,,,,244642.0,,1958-59,LG_AVG,0
League Average,,,37.0,38.0,0.0,0.0,0.0,91.1,91.1,,126.1,0.33,,0.46299999999999997,0.41,,,0.242,,,,,,209374.0,,1959-60,LG_AVG,0
League Average,,,40.0,39.0,0.0,0.01,0.01,92.1,92.1,,127.7,0.342,,0.469,0.415,,,0.25,,,,,,176457.0,,1960-61,LG_AVG,0
League Average,,,40.0,40.0,0.0,0.0,0.0,93.6,93.6,,126.2,0.344,,0.479,0.426,,,0.25,,,,,,191088.0,,1961-62,LG_AVG,0
League Average,,,40.0,40.0,0.0,0.0,0.0,95.9,95.9,,119.6,0.354,,0.493,0.441,,,0.258,,,,,,274022.0,,1962-63,LG_AVG,0
League Average,,,40.0,40.0,0.0,0.0,0.0,94.6,94.6,,116.8,0.353,,0.485,0.433,,,0.255,,,,,,272839.0,,1963-64,LG_AVG,0
League Average,,,40.0,40.0,0.0,0.0,0.0,93.6,93.6,,117.3,0.35600000000000004,,0.479,0.426,,,0.257,,,,,,319267.0,,1964-65,LG_AVG,0
League Average,,,40.0,40.0,0.0,0.0,0.0,94.9,94.9,,121.4,0.361,,0.48700000000000004,0.433,,,0.262,,,,,,336328.0,2436.0,1965-66,LG_AVG,0
League Average,,,40.0,41.0,0.0,0.0,0.0,96.1,96.1,,121.6,0.35200000000000004,,0.493,0.441,,,0.257,,,,,,378849.0,,1966-67,LG_AVG,0
League Average,,,41.0,41.0,0.0,0.0,0.0,96.8,96.8,,119.8,0.368,,0.498,0.446,,,0.265,,,,,,371057.0,,1967-68,LG_AVG,0
League Average,,,41.0,41.0,0.0,0.0,0.0,95.5,95.5,,116.9,0.353,,0.491,0.441,,,0.252,,,,,,402696.0,3043.0,1968-69,LG_AVG,0
League Average,,,41.0,41.0,0.0,0.0,0.0,99.0,99.0,,117.1,0.33899999999999997,,0.511,0.46,,,0.255,,,,,,407073.0,4496.0,1969-70,LG_AVG,0
League Average,,,41.0,41.0,0.0,0.0,0.0,97.2,97.2,,115.1,0.33299999999999996,,0.5,0.449,,,0.248,0.449,,,0.248,,439938.0,5152.0,1970-71,LG_AVG,0
League Average,,,41.0,41.0,0.0,0.0,0.0,97.9,97.9,,112.0,0.326,,0.504,0.455,,,0.244,0.455,,,0.244,,507521.0,5762.0,1971-72,LG_AVG,0
League Average,,,41.0,41.0,0.0,0.01,0.01,96.8,96.8,,110.7,0.261,,0.498,0.456,,,0.198,0.456,,,0.198,,544053.0,5941.0,1972-73,LG_AVG,0
League Average,,,41.0,41.0,0.0,0.0,0.0,97.7,97.7,,107.8,0.27,,0.503,0.45899999999999996,16.5,30.5,0.209,0.45899999999999996,16.5,69.5,0.209,,479203.0,5676.0,1973-74,LG_AVG,0
League Average,,,41.0,41.0,0.0,-0.01,-0.01,97.7,97.7,,104.5,0.276,,0.502,0.457,16.3,30.2,0.21100000000000002,0.457,16.3,69.8,0.21100000000000002,,480279.0,6542.0,1974-75,LG_AVG,0
League Average,,,41.0,41.0,0.0,0.01,0.01,98.3,98.3,,105.5,0.294,,0.504,0.45799999999999996,16.0,30.3,0.221,0.45799999999999996,16.0,69.7,0.221,,532283.0,7516.0,1975-76,LG_AVG,0
League Average,,,41.0,41.0,0.0,0.0,0.0,99.5,99.5,,106.5,0.301,,0.511,0.465,16.5,31.8,0.226,0.465,16.5,68.2,0.226,,509413.0,5517.0,1976-77,LG_AVG,0
