NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,YEAR,TEAMID,TEAMABRV
,Gene Berce,G-F,5-11,175,1926-11-22,US,R,Marquette,1949-50,1,TRI
13.0,John Chaney,F-C,6-3,185,1920-02-29,US,R,LSU,1949-50,1,TRI
11.0,Dike Eddleman,SF,6-3,189,1922-12-27,US,R,Illinois,1949-50,1,TRI
12.0,Gene Englund,F-C,6-5,205,1917-10-21,US,R,Wisconsin,1949-50,1,TRI
18.0,Dee Gibson,F-G,5-11,175,1923-08-25,US,R,Western Kentucky,1949-50,1,TRI
8.0,Billy Hassett,G,5-11,180,1921-10-21,US,R,Notre Dame,1949-50,1,TRI
20.0,Bill Henry,C,6-9,215,1924-12-27,US,1,Rice University,1949-50,1,TRI
12.0,Jack Kerris,PF,6-6,215,1925-01-30,US,R,Loyola Chicago,1949-50,1,TRI
4.0,Walt Kirk,PG,6-3,173,1924-09-03,US,1,Illinois,1949-50,1,TRI
12.0,John Mahnken,C,6-8,220,1922-06-16,US,3,Georgetown,1949-50,1,TRI
15.0,Jack Nichols,PF,6-7,222,1926-04-09,N/A,1,Washington,1949-50,1,TRI
9.0,George Nostrand,C-F,6-8,195,1924-01-25,US,3,Wyoming,1949-50,1,TRI
15.0,Don Otten,C,6-10,240,1921-04-18,US,R,Bowling Green,1949-50,1,TRI
20.0,Mac Otten,F-C,6-7,220,1925-12-16,US,R,Bowling Green,1949-50,1,TRI
,Red Owens,SG,6-3,185,1925-09-02,US,R,Baylor,1949-50,1,TRI
7.0,Warren Perkins,G-F,6-3,190,1922-02-02,US,R,Tulane,1949-50,1,TRI
96.0,Don Ray,F-C,6-5,190,1921-07-08,US,R,Western Kentucky,1949-50,1,TRI
,Dick Schulz,F-G,6-2,192,1917-01-03,US,3,Wisconsin,1949-50,1,TRI
21.0,Mike Todorovich,F-C,6-5,220,1923-06-11,US,R,Wyoming,1949-50,1,TRI
8.0,Gene Vance,G-F,6-3,195,1923-02-25,US,2,Illinois,1949-50,1,TRI
6.0,Whitey Von Nieda,G-F,6-1,170,1922-06-19,US,R,Penn State,1949-50,1,TRI
17.0,Murray Wier,G,5-9,155,1926-12-12,US,R,Iowa,1949-50,1,TRI
,Ed Beach,F,6-3,200,1929-01-25,US,R,West Virginia,1950-51,1,TRI
16,Harry Boykoff,C,6-10,225,1922-07-24,US,1,St. John's,1950-51,1,TRI
13,Frankie Brian,G,6-1,180,1923-05-01,US,1,LSU,1950-51,1,TRI
12,Tommy Byrnes,F-G,6-3,175,1923-02-19,US,4,Seton Hall,1950-51,1,TRI
10-15,Bob Carpenter,F-C,6-5,200,1917-11-06,US,1,East Texas State University,1950-51,1,TRI
14,Cal Christensen,SF,6-5,210,1927-06-06,US,R,Toledo,1950-51,1,TRI
12,Ray Corley,G,6-0,180,1928-01-14,US,1,Georgetown,1950-51,1,TRI
10,Hank DeZonie,C-F,6-6,215,1922-02-12,US,R,Clark Atlanta University,1950-51,1,TRI
18,Dike Eddleman,SF,6-3,189,1922-12-27,US,1,Illinois,1950-51,1,TRI
10,Ed Gayda,G-F,6-4,210,1927-05-16,N/A,R,Washington State,1950-51,1,TRI
9,John Hargis,G-F,6-2,180,1920-08-20,US,1,Texas,1950-51,1,TRI
16,Kleggie Hermsen,C-F,6-9,225,1923-03-12,US,4,Minnesota,1950-51,1,TRI
20,Noble Jorgensen,C,6-9,228,1925-05-18,US,2,Iowa,1950-51,1,TRI
17,John Logan,G,6-2,175,1921-01-01,US,4,Indiana,1950-51,1,TRI
15,Jack Nichols,PF,6-7,222,1926-04-09,N/A,2,Washington,1950-51,1,TRI
11,Warren Perkins,G-F,6-3,190,1922-02-02,US,1,Tulane,1950-51,1,TRI
20,Ed Peterson,C,6-9,220,1924-06-27,US,1,Cornell,1950-51,1,TRI
9,Herb Scherer,C,6-9,212,1928-12-21,US,R,Long Island University,1950-51,1,TRI
19,Mike Todorovich,F-C,6-5,220,1923-06-11,US,1,Wyoming,1950-51,1,TRI
12,Gene Vance,G-F,6-3,195,1923-02-25,US,3,Illinois,1950-51,1,TRI
,Elmer Behnke,C,6-7,210,1929-02-03,US,R,Bradley,1951-52,1,MLH
21.0,Charlie Black,F-C,6-5,200,1921-06-15,US,2,Kansas,1951-52,1,MLH
18.0,Don Boven,SG,6-4,210,1925-03-06,US,1,Western Michigan,1951-52,1,MLH
15.0,Art Burris,SF,6-5,220,1924-04-07,US,1,Tennessee,1951-52,1,MLH
20.0,Cal Christensen,SF,6-5,210,1927-06-06,US,1,Toledo,1951-52,1,MLH
20.0,Dillard Crocker,PF,6-4,205,1925-01-19,US,2,Western Michigan,1951-52,1,MLH
21.0,Nate DeLong,C,6-6,220,1926-01-05,US,R,University of Wisconsin-River Falls,1951-52,1,MLH
18.0,Dike Eddleman,SF,6-3,189,1922-12-27,US,2,Illinois,1951-52,1,MLH
,Jerry Fowler,C,6-8,230,1927-06-20,US,R,Missouri,1951-52,1,MLH
22.0,Mel Hutchins,C,6-6,200,1928-11-22,US,R,BYU,1951-52,1,MLH
16.0,Walt Kirk,PG,6-3,173,1924-09-03,US,2,Illinois,1951-52,1,MLH
15.0,John McConathy,F,6-5,195,1930-04-09,US,R,Northwestern State University,1951-52,1,MLH
17.0,Dick Mehen,PF,6-5,195,1922-05-20,US,2,Tennessee,1951-52,1,MLH
14.0,Kevin O'Shea,G,6-2,175,1925-07-10,US,1,Notre Dame,1951-52,1,MLH
14.0,Don Otten,C,6-10,240,1921-04-18,US,2,Bowling Green,1951-52,1,MLH
,Red Owens,SG,6-3,185,1925-09-02,US,1,Baylor,1951-52,1,MLH
15.0,Don Rehfeldt,SF,6-7,210,1927-01-07,US,1,Wisconsin,1951-52,1,MLH
,John Rennicke,G,6-2,185,1929-08-11,US,R,Drake University,1951-52,1,MLH
11.0,Gene Vance,G-F,6-3,195,1923-02-25,US,4,Illinois,1951-52,1,MLH
12.0,Bob Wilson,PG,6-4,185,1926-03-08,US,R,West Virginia State University,1951-52,1,MLH
,Don Boven,F-G,6-4,210,1925-03-06,US,2,Western Michigan,1952-53,1,MLH
,Jim Brasco,G,6-1,170,1931-02-03,US,R,NYU,1952-53,1,MLH
10,Bill Calhoun,SF,6-3,180,1927-11-04,US,4,City College of San Francisco,1952-53,1,MLH
